name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,whatsapp_number
Mv Motors,"R. São Domingos, 65 - Vila dos Remedios, Osasco - SP, 06298-080",,(11) 97066-8039,,4.9,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511970668039
Rede Top Oficina Automotiva,"Av. dos Autonomistas, 1542 - Vila Yara, Osasco - SP, 06020-012",redetopoficina.com.br,(11) 3699-4453,,3.7,No,No,No,Oficina mecânica, · Fecha 18:00,None Found,551136994453
Auto Center Lukar,"Av. Nossa Sra. dos Remédios, 173 - Vila dos Remedios, Osasco - SP, 06296-190",,(11) 4556-9000,,3.7,No,No,No,Oficina mecânica,Fechado · Abre seg. às 08:00,None Found,551145569000
Intercâmbio Comércio de Câmbios e Diferenciais,"R. José Teixeira de Barros, 12 - Remédios, Osasco - SP, 06298-150",,(11) 3686-8103,,4.4,No,No,No,Loja de autopeças, · Fecha 18:00,None Found,551136868103
Grilo Comércio de Peças,"R. João Alfredo Bonaldi, 10 - Vila dos Remedios, Osasco - SP, 06296-250",,(11) 98445-7748,,4.9,No,No,No,Mecânico, · 14:00 · Abre seg. às 08:00,None Found,5511984457748
SGN Off-Road - especializada em Toyota,"R. Pedro Rissato, 274 - Vila dos Remedios, Osasco - SP, 06296-220",minha.ofic.in,(11) 97635-9262,,4.9,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511976359262
J F Comércio Veículos Peças Usadas,"R. Leão XIII, 389 - Remédios, Osasco - SP, 06296-180",,,,5.0,No,No,No,Loja de autopeças, · 14:00 · Abre seg. às 08:00,None Found,
Centro Automotivo Telezynski Lopes,"Av. Maria Campos, 760 - Centro, Osasco - SP, 06010-065",automotivotlopes.wixsite.com,(11) 3681-3397,,4.9,No,No,No,Oficina mecânica, · Fecha 15:00,None Found,551136813397
Fapron Alfredo's Carretas engates e amigos,"R. Leão XIII, 443 - Vila dos Remedios, Osasco - SP, 06296-180",,(11) 98227-8232,,5.0,No,No,No,Oficina de conserto de trailers, · 14:00 · Abre seg. às 08:00,None Found,5511982278232
Auto Eletrica PARANA,"R. Pedro Rissato, 336 - Remédios, Osasco - SP, 06296-220",,(11) 96220-9489,,4.5,No,No,No,Oficina mecânica, · Abre seg. às 08:00,None Found,5511962209489
